# timestamps [seconds],pts
-453447.636831,0
-453447.538678,6432
-453447.507100,8501
-453447.477117,10466
-453447.459577,11616
-453447.421247,14128
-453447.397588,15678
-453447.355710,18423
-453447.308324,21528
-453447.282064,23249
-453447.261068,24625
-453447.126485,33445
-453447.083532,36260
-453447.051900,38333
-453447.015004,40751
-453446.989873,42398
-453446.953122,44806
-453446.931089,46250
-453446.892621,48771
-453446.851308,51479
-453446.835843,52492
-453446.795095,55163
-453446.755941,57729
-453446.730809,59376
-453446.694982,61724
-453446.653363,64451
-453446.631841,65861
-453446.589391,68643
-453446.571332,69827
-453446.538343,71989
-453446.495336,74807
-453446.448209,77896
-453446.424306,79462
-453446.383420,82142
-453446.359464,83712
-453446.314809,86638
-453446.291929,88138
-453446.250203,90872
-453446.226621,92418
-453446.182477,95311
-453446.159230,96834
-453446.114103,99791
-453446.092229,101225
-453446.049199,104045
-453446.024541,105661
-453445.989469,107959
-453445.961309,109805
-453445.924665,112206
-453445.899213,113874
-453445.858144,116566
-453445.813062,119520
-453445.797734,120525
-453445.756459,123230
-453445.719495,125652
-453445.695401,127231
-453445.654546,129909
-453445.624883,131852
-453445.589048,134201
-453445.570684,135404
-453445.530317,138050
-453445.489171,140746
-453445.444608,143667
-453445.420514,145246
-453445.370023,148555
-453445.348279,149980
-453445.327237,151359
-453445.283529,154223
-453445.264989,155438
-453445.221280,158303
-453445.197835,159839
-453445.153898,162719
-453445.110959,165532
-453445.085767,167183
-453445.042562,170015
-453445.019559,171522
-453444.991185,173382
-453444.958173,175545
-453444.941503,176638
-453444.901586,179254
-453444.868039,181452
-453444.823293,184385
-453444.806485,185486
-453444.773885,187623
-453444.730405,190472
-453444.693647,192881
-453444.650380,195717
-453444.629911,197058
-453444.585424,199973
-453444.562078,201503
-453444.518232,204377
-453444.494115,205957
-453444.449514,208880
-453444.421331,210727
-453444.385068,213104
-453444.360677,214702
-453444.317212,217551
-453444.293790,219086
-453444.249685,221976
-453444.227117,223455
-453444.183484,226315
-453444.158620,227944
-453444.115033,230800
-453444.091413,232348
-453444.049054,235124
-453444.028547,236468
-453443.984479,239356
-453443.965184,240621
-453443.918607,243673
-453443.879476,246238
-453443.858083,247640
-453443.819875,250144
-453443.802236,251300
-453443.760030,254066
-453443.716687,256906
-453443.690793,258603
-453443.654271,260997
-453443.633382,262365
-453443.593786,264960
-453443.567296,266696
-453443.522840,269610
-453443.499654,271129
-453443.451520,274284
-453443.412214,276860
-453443.389722,278334
-453443.346090,281193
-453443.322164,282761
-453443.279088,285584
-453443.255697,287117
-453443.211690,290001
-453443.188001,291554
-453443.143468,294472
-453443.119992,296010
-453443.077619,298787
-453443.052022,300465
-453443.018293,302675
-453442.994039,304265
-453442.960317,306475
-453442.940419,307779
-453442.898862,310502
-453442.861341,312961
-453442.818723,315754
-453442.802274,316832
-453442.771253,318865
-453442.729139,321625
-453442.696561,323760
-453442.658063,326283
-453442.635938,327733
-453442.585202,331058
-453442.560506,332676
-453442.518392,335436
-453442.491803,337179
-453442.450902,339859
-453442.426450,341462
-453442.377607,344663
-453442.355512,346111
-453442.310109,349086
-453442.290357,350381
-453442.243551,353448
-453442.225698,354618
-453442.182355,357459
-453442.153760,359333
-453442.116086,361801
-453442.092466,363349
-453442.050115,366125
-453442.027211,367626
-453441.982610,370549
-453441.959378,372071
-453441.916318,374893
-453441.891645,376510
-453441.849530,379270
-453441.823087,381003
-453441.793035,382973
-453441.770406,384456
-453441.735585,386738
-453441.701940,388943
-453441.659993,391692
-453441.623700,394070
-453441.600980,395559
-453441.565946,397855
-453441.531339,400123
-453441.486753,403045
-453441.467717,404292
-453441.422010,407288
-453441.400815,408677
-453441.356893,411555
-453441.312673,414453
-453441.289945,415943
-453441.245969,418825
-453441.221929,420400
-453441.178258,423262
-453441.152860,424927
-453441.111715,427623
-453441.087400,429216
-453441.044988,431996
-453441.020765,433583
-453440.976423,436489
-453440.953412,437997
-453440.927739,439680
-453440.894704,441845
-453440.874189,443189
-453440.829305,446131
-453440.794606,448405
-453440.752958,451134
-453440.736119,452238
-453440.696843,454812
-453440.653348,457662
-453440.635778,458813
-453440.595220,461471
-453440.555440,464078
-453440.513723,466812
-453440.485212,468681
-453440.440015,471643
-453440.412191,473466
-453440.392118,474782
-453440.351766,477426
-453440.325185,479168
-453440.284917,481807
-453440.259832,483451
-453440.217984,486194
-453440.194814,487712
-453440.150548,490613
-453440.126683,492177
-453440.077497,495400
-453440.059545,496577
-453440.015256,499479
-453439.991758,501019
-453439.949308,503801
-453439.925641,505352
-453439.889753,507704
-453439.865567,509289
-453439.831296,511535
-453439.796689,513803
-453439.755582,516497
-453439.734830,517857
-453439.690229,520780
-453439.656789,522972
-453439.641599,523967
-453439.602697,526516
-453439.569989,528660
-453439.527387,531452
-453439.481321,534471
-453439.457471,536034
-453439.413671,538904
-453439.388921,540526
-453439.344121,543462
-453439.321958,544915
-453439.279340,547708
-453439.254995,549303
-453439.212438,552092
-453439.189176,553617
-453439.146505,556413
-453439.122693,557973
-453439.078450,560873
-453439.055509,562376
-453439.011617,565253
-453438.987714,566819
-453438.945241,569603
-453438.919240,571307
-453438.885289,573532
-453438.863736,574944
-453438.827298,577332
-453438.791623,579670
-453438.766004,581349
-453438.728757,583790
-453438.688916,586401
-453438.649823,588963
-453438.630277,590244
-453438.591161,592807
-453438.573873,593940
-453438.534971,596490
-453438.497609,598938
-453438.452138,601918
-453438.427732,603518
-453438.385984,606254
-453438.358693,608042
-453438.318944,610647
-453438.294179,612270
-453438.247655,615319
-453438.227689,616628
-453438.182431,619594
-453438.160993,620999
-453438.117955,623819
-453438.092977,625456
-453438.050176,628261
-453438.025693,629865
-453437.992048,632070
-453437.976590,633083
-453437.926595,636360
-453437.906606,637670
-453437.864171,640451
-453437.819707,643365
-453437.774068,646356
-453437.752668,647758
-453437.726636,649464
-453437.690091,651859
-453437.669095,653235
-453437.625890,656066
-453437.608533,657204
-453437.572561,659561
-453437.531873,662228
-453437.492490,664809
-453437.447767,667740
-453437.419210,669611
-453437.380956,672118
-453437.356336,673732
-453437.310537,676733
-453437.290235,678064
-453437.246053,680959
-453437.224042,682402
-453437.177915,685425
-453437.155278,686908
-453437.104871,690211
-453437.083394,691619
-453437.061940,693025
-453437.012159,696287
-453436.989995,697740
-453436.942724,700838
-453436.921163,702251
-453436.899137,703694
-453436.853818,706664
-453436.832021,708093
-453436.793035,710648
-453436.736150,714376
-453436.715513,715728
-453436.693212,717190
-453436.648702,720107
-453436.628782,721412
-453436.585317,724260
-453436.567350,725438
-453436.529165,727940
-453436.474683,731511
-453436.453000,732932
-453436.430448,734410
-453436.380620,737675
-453436.350034,739680
-453436.306081,742560
-453436.276281,744513
-453436.250653,746193
-453436.228719,747630
-453436.185399,750469
-453436.152021,752657
-453436.084188,757102
-453436.048345,759451
-453436.017431,761477
-453435.985166,763591
-453435.951047,765827
-453435.917264,768041
-453435.883603,770247
-453435.850446,772420
-453435.817579,774574
-453435.783223,776826
-453435.748647,779092
-453435.715894,781238
-453435.682172,783448
-453435.649183,785610
-453435.616193,787772
-453435.581075,790073
-453435.548070,792236
-453435.514852,794413
-453435.481755,796582
-453435.447866,798803
-453435.413999,801023
-453435.390317,802575
-453435.364995,804234
-453435.344968,805547
-453435.323713,806940
-453435.274747,810149
-453435.254308,811488
-453435.232442,812921
-453435.190496,815670
-453435.166440,817247
-453435.123479,820062
-453435.079290,822958
-453435.055852,824494
-453435.012044,827365
-453434.985898,829078
-453434.945783,831707
-453434.921247,833315
-453434.879262,836067
-453434.855397,837631
-453434.811368,840516
-453434.782727,842393
-453434.741445,845099
-453434.720235,846489
-453434.696416,848050
-453434.655751,850715
-453434.606588,853936
-453434.585645,855309
-453434.565831,856607
-453434.516210,859859
-453434.496862,861127
-453434.453992,863937
-453434.406255,867065
-453434.385846,868403
-453434.364629,869793
-453434.320440,872689
-453434.296247,874275
-453434.253629,877068
-453434.229619,878641
-453434.186506,881467
-453434.162900,883014
-453434.119199,885877
-453434.100194,887123
-453434.059896,889764
-453434.021886,892255
-453434.001828,893569
-453433.960004,896310
-453433.943212,897411
-453433.889623,900923
-453433.858526,902961
-453433.818143,905607
-453433.800031,906794
-453433.747113,910262
-453433.726789,911594
-453433.682912,914470
-453433.660894,915913
-453433.624036,918328
-453433.597135,920091
-453433.560582,922486
-453433.535711,924116
-453433.490270,927094
-453433.469457,928458
-453433.426931,931245
-453433.382291,934171
-453433.359342,935675
-453433.315000,938581
-453433.289945,940223
-453433.246930,943042
-453433.224721,944497
-453433.181226,947348
-453433.157064,948931
-453433.119138,951416
-453433.094945,953002
-453433.058377,955398
-453433.041684,956492
-453432.992513,959715
-453432.974012,960927
-453432.927655,963965
-453432.889562,966462
-453432.868764,967825
-453432.823301,970804
-453432.802358,972177
-453432.763692,974711
-453432.720853,977518
-453432.702581,978716
-453432.663297,981290
-453432.621228,984047
-453432.599012,985503
-453432.555524,988353
-453432.510778,991285
-453432.486570,992872
-453432.444097,995655
-453432.419858,997244
-453432.376188,1000106
-453432.352948,1001629
-453432.327298,1003310
-453432.287587,1005912
-453432.265416,1007365
